19,1
25,1
26,1
34,1
44,1
49,1
58,1
77,1
81,1
108,1
133,1
168,1
366,1
373,1
1692,1
1693,3
1694,3
1695,1
1696,1
1697,1
1701,0
1702,0
1703,0
1705,1
1706,1
1707,1
1708,1
1710,3
1711,1
1712,1
1713,1
1714,1
1715,3
1717,3
1718,3
1719,3
1720,3
1722,0
1724,1
1725,1
1726,1
1728,3
1729,2
1731,2
1732,0
1733,2
1734,0
1735,0
1736,0
1737,0
1738,0
1739,2
1740,2
1744,1
1746,1
1747,3
1748,3
1749,3
1750,3
1751,0
1752,1
1753,1
1754,3
1755,1
1756,1
1757,3
1758,1
1760,1
1761,1
1763,1
1764,1
1765,3
1766,3
1767,3
1768,3
1769,3
1770,2
1771,0
1772,2
1774,2
1777,3
1778,0
1779,0
1783,0
1784,0
1785,0
1786,0
1787,1
1789,1
1790,1
1791,1
1793,3
1796,1
1798,1
1799,3
1801,3
1802,0
1804,3
1807,0
1809,0
1811,0
1813,1
1814,1
1815,1
1816,1
1818,3
1819,1
1820,3
1821,1
1822,1
1823,1
1824,2
1825,1
1826,1
1827,1
1828,0
1829,1
1830,0
1831,1
1833,0
1834,3
1835,3
1837,1
1838,1
1839,1
1840,1
1842,3
1843,3
1844,0
1845,3
1846,0
1848,0
1849,2
1851,3
1852,3
1853,3
1854,3
1855,3
1856,2
1857,3
1859,0
1861,1
1862,3
1863,1
1865,1
1866,0
1867,1
1868,0
1870,1
1871,3
1872,3
1874,3
1875,1
1876,3
1877,0
1879,0
1880,1
1881,1
1882,1
1883,1
1884,3
1885,3
1886,1
1888,2
1889,1
1890,2
1894,1
1895,1
1896,1
1897,1
1898,1
1900,2
1903,2
1904,2
1905,0
1907,2
1909,0
1911,0
1913,0
1915,2
1918,2
1919,3
1920,0
1921,1
1922,3
1923,3
1928,0
1929,0
1930,1
1931,1
1932,3
1933,1
1934,0
1935,1
1936,1
1939,0
1941,2
1942,2
1943,1
1944,1
1946,1
1947,1
1949,0
1950,2
1951,1
1955,1
1956,1
1958,1
1960,1
1961,1
1962,1
1964,1
1967,0
1969,1
1971,2
1972,0
1973,3
1976,3
1977,0
1978,0
1979,0
1980,0
1981,3
1983,3
1985,2
1988,2
1990,1
1991,1
1992,1
1993,3
1995,3
1997,1
1998,1
1999,1
2002,0
2003,0
2004,0
2005,0
2006,3
2007,1
2008,2
2009,2
2011,0
2014,0
2015,2
2016,1
2019,3
2020,3
2022,3
2023,1
2024,1
2025,2
2028,0
2029,2
2031,0
2033,3
2034,3
2037,2
2039,3
2040,3
2041,3
2043,1
2044,3
2046,0
2048,1
2049,3
2052,1
2053,1
2054,3
2055,0
2056,1
2057,2
2061,0
2062,1
2064,3
2065,1
2066,0
2068,3
2069,0
2070,3
2071,0
2072,3
2076,0
2078,3
2079,3
2080,3
2086,1
2087,1
2090,1
2091,3
2092,3
2095,3
2097,3
2099,3
2100,3
2101,1
2102,1
2105,1
2106,1
2107,1
2110,1
2114,1
2115,1
2116,1
2117,1
2119,3
2120,3
2122,3
2125,0
2127,2
2130,2
2132,2
2134,0
2135,2
2136,2
2137,2
2138,0
2139,0
2140,1
2142,0
2143,1
2144,0
2145,1
2146,0
2148,3
2151,2
2155,0
2157,1
2159,3
2160,1
2161,3
2163,1
2166,1
2167,3
2168,3
2169,3
2170,1
2171,0
2172,1
2173,1
2174,1
2176,1
2177,1
2178,1
2179,1
2181,0
2184,0
2185,3
2186,1
2187,1
2192,1
2195,1
2197,2
2198,2
2199,2
2201,3
2202,3
2203,3
