input0,input1,input2,input3,input4,input5,input6,input7,input8,input9,Science,Cost
0,1,1,2,0,1,4,0,-1,-1,-0.7862755000000001,2085.4621656900317
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,0,0,3,4,-1,-1,-1,-0.7650532777777779,1686.2958571833547
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,0,0,3,4,-1,-1,-1,-0.7650532777777779,1686.2958571833547
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,0,1,1,3,4,-1,-1,-1,-0.7113866111111111,1750.3585753266161
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,0,1,1,1,4,3,-1,-1,-1,-0.7411649444444446,1792.9465756154939
0,0,1,1,1,4,3,-1,-1,-1,-0.7411649444444446,1792.9465756154939
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,0,1,1,1,4,3,-1,-1,-1,-0.7411649444444446,1792.9465756154939
0,0,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1930.7753848766467
0,1,1,0,0,3,4,-1,-1,-1,-0.7650532777777779,1686.2958571833547
0,1,1,0,0,3,4,-1,-1,-1,-0.7650532777777779,1686.2958571833547
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,2,0,2,1,1,-1,-1,-0.6825821944444446,1492.5796169367188
0,1,1,0,0,3,4,-1,-1,-1,-0.7650532777777779,1686.2958571833547
0,1,2,0,0,3,4,1,-1,-1,-0.7650532777777779,1827.2654335616608
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,0,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1930.7753848766467
0,1,1,0,0,3,4,-1,-1,-1,-0.7650532777777779,1686.2958571833547
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,0,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1930.7753848766467
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,0,0,3,4,-1,-1,-1,-0.7650532777777779,1686.2958571833547
0,1,1,2,0,1,1,1,-1,-1,-0.7362488611111111,1522.917765219498
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,0,0,3,4,-1,-1,-1,-0.7650532777777779,1686.2958571833547
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,0,0,3,4,-1,-1,-1,-0.7650532777777779,1686.2958571833547
0,1,1,0,0,3,4,-1,-1,-1,-0.7650532777777779,1686.2958571833547
