M_S0,R_S0,M_C0,R_C0,M_I0,R_I0,SensorMassScalingFactor,SensorMassSpacingFactor,SensorReliabScalingFactor,CompMassScalingFactor,CompMassSpacingFactor,CompReliabScalingFactor,DissimilarComponentPenalty,M_SA,M_SB,M_SC,R_SA,R_SB,R_SC,M_CA,M_CB,M_CC,R_CA,R_CB,R_CC,NS,NC,NA,sensors,computers,Ibin_1,Ibin_2,Ibin_3,Ibin_4,Ibin_5,Ibin_6,Ibin_7,Ibin_8,Ibin_9,Inat_1,Inat_2,Inat_3,m,R,MTTF,Nlinks,Fields,N9
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,2,,100,330,49,49,,,,,,,,3,,,23,0.99849996,666.1487909,2,,2.823897177
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,2,,200,110,49,49,,,,,,,,3,,,12,0.998999001,998.5019135,2,,2.999566356
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,2,,200,120,49,49,,,,,,,,3,,,23,0.9989996,999.1004762,2,,2.999826491
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,2,,200,130,49,49,,,,,,,,3,,,28,0.9989998,999.3001565,2,,2.999913237
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,2,,200,220,49,49,,,,,,,,3,,,16,0.99899984,999.3401022,2,,2.999930588
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,2,,200,230,49,49,,,,,,,,3,,,30,0.99899992,999.420003,2,,2.999965293
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,2,,200,330,49,49,,,,,,,,3,,,26,0.99899996,999.4599582,2,,2.999982646
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,2,,300,110,49,49,,,,,,,,3,,,15,0.999499001,1995.509934,2,,3.300162708
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,2,,300,120,49,49,,,,,,,,3,,,26,0.9994996,1997.902036,2,,3.300682873
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,2,,300,130,49,49,,,,,,,,3,,,31,0.9994998,1998.700678,2,,3.300856399
