timestamp,Solar Panel Voltage X mV,Solar Panel Voltage Y mV,Solar Panel Voltage Z mV,Total Photo Current mA,Battery Voltage mV,Total System Current mA,Boost Converter Temp 1 C,Boost Converter Temp 2 C,Boost Converter Temp 3 C,Battery Temp C,Sun Sensor X+,Sun Sensor Y+,Sun Sensor Z+,Solar Panel Temp X+ C,Solar Panel Temp X- C,Solar Panel Temp Y+ C,Solar Panel Temp Y- C,3.3 Bus Voltage mV,3.3 Bus Current mA,5.0 Bus Voltage mV,RF Temperature C,Receive Current mA,RF Current 3.3V Bus mA,RF Current 5.0V Bus mA,PA Device Temperature C,PA Bus Current mA,Antenna Temp 0 C,Antenna Temp 1 C
2018-05-14 14:14:21.0,0,0,0,0,8171,146,7,8,9,9,0.00,0.00,0.00,-11.75,-8.66,-9.50,-9.58,3280.00,133.00,4962.00,10.27,39,57,28,21.1,40.5,-11.1,-12.4
2018-05-14 14:14:26.0,0,0,0,0,8171,146,7,8,9,9,0.00,0.00,0.00,-11.75,-8.87,-9.50,-9.58,3280.00,141.00,4962.00,9.42,39,56,28,20.7,41.6,-11.1,-12.4
2018-05-14 14:14:31.0,0,0,0,0,8181,146,7,8,9,9,0.00,0.00,0.00,-11.75,-8.87,-9.50,-9.79,3280.00,132.00,4962.00,10.27,39,57,28,20.7,39.9,-11.1,-12.4
2018-05-14 14:14:36.0,0,0,0,0,8161,151,7,8,9,9,0.00,0.00,0.00,-11.75,-9.08,-9.50,-9.79,3280.00,147.00,4962.00,9.42,39,66,29,21.1,88.3,-11.1,-12.4
2018-05-14 14:14:41.0,0,0,0,0,8171,151,7,8,9,9,0.00,0.00,0.00,-11.95,-9.29,-9.71,-10.00,3280.00,134.00,4962.00,9.42,39,57,28,20.7,39.9,-11.1,-12.4
2018-05-14 14:14:46.0,0,0,0,0,8171,146,6,8,9,9,0.00,0.00,0.00,-11.95,-9.29,-9.71,-10.21,3280.00,139.00,4962.00,9.42,39,56,28,20.7,41.0,-11.1,-12.4
2018-05-14 14:14:51.0,0,0,0,0,8171,146,6,8,9,9,0.00,0.00,0.00,-12.16,-9.29,-9.71,-10.21,3280.00,132.00,4962.00,9.42,39,56,28,20.7,39.9,-11.1,-12.4
2018-05-14 14:14:56.0,0,0,0,0,8171,146,6,8,9,9,0.00,0.00,0.00,-12.37,-9.29,-9.71,-10.42,3280.00,140.00,4962.00,9.42,39,57,28,20.4,36.1,-11.1,-12.4
2018-05-14 14:15:01.0,0,0,0,0,8171,146,6,7,9,9,0.00,0.00,0.00,-12.37,-9.29,-9.71,-10.42,3280.00,135.00,4962.00,9.42,39,57,28,20.4,40.5,-12.4,-12.4
2018-05-14 14:15:06.0,0,0,0,0,8171,146,6,7,9,9,0.00,0.00,0.00,-12.37,-9.29,-9.71,-10.42,3280.00,140.00,4962.00,9.42,39,56,28,20.4,41.6,-11.1,-12.4
2018-05-14 14:15:11.0,0,0,0,0,8171,141,6,7,9,9,0.00,0.00,0.00,-12.37,-9.29,-9.92,-10.42,3280.00,132.00,4962.00,9.42,39,57,28,20.4,37.7,-12.4,-12.4
2018-05-14 14:15:16.0,0,0,0,0,8171,151,6,7,9,9,0.00,0.00,0.00,-12.58,-9.29,-9.92,-10.42,3280.00,136.00,4962.00,9.42,38,56,28,20.4,38.8,-12.4,-12.4
2018-05-14 14:15:21.0,0,0,0,0,8171,146,6,7,9,9,0.00,0.00,0.00,-12.58,-9.50,-10.12,-10.42,3280.00,135.00,4962.00,9.42,38,56,28,20.4,41.0,-12.4,-13.6
2018-05-14 14:15:26.0,0,0,0,0,8171,146,6,7,8,9,0.00,0.00,0.00,-12.78,-9.70,-10.33,-10.63,3280.00,140.00,4962.00,8.56,39,56,28,20.0,38.8,-12.4,-12.4
2018-05-14 14:15:31.0,0,0,0,0,8171,183,6,7,8,9,0.00,0.00,0.00,-12.58,-9.70,-10.33,-10.42,3280.00,140.00,4962.00,8.56,38,64,28,20.4,77.8,-12.4,-13.6
2018-05-14 14:15:36.0,0,0,0,0,8171,146,6,7,8,9,0.00,0.00,0.00,-12.58,-9.70,-10.33,-10.42,3280.00,141.00,4962.00,9.42,38,56,28,20.7,40.5,-12.4,-13.6
2018-05-14 14:15:41.0,0,0,0,0,8150,192,6,7,8,8,0.00,0.00,0.00,-12.58,-9.70,-10.33,-10.63,3280.00,138.00,4962.00,8.56,38,68,28,20.7,49.8,-12.4,-13.6
2018-05-14 14:15:46.0,0,0,0,0,8171,146,6,7,8,9,0.00,0.00,0.00,-12.58,-9.91,-10.33,-10.63,3280.00,138.00,4962.00,8.56,38,56,28,20.4,39.4,-12.4,-13.6
2018-05-14 14:15:51.0,0,0,0,0,8171,146,5,7,8,9,0.00,0.00,0.00,-12.58,-9.91,-10.33,-10.84,3280.00,134.00,4962.00,8.56,38,57,28,20.0,41.0,-12.4,-13.6
2018-05-14 14:15:56.0,0,0,0,0,8171,146,5,7,8,8,0.00,0.00,0.00,-12.78,-10.12,-10.54,-10.84,3280.00,136.00,4962.00,8.56,38,56,28,20.0,40.5,-12.4,-13.6
2018-05-14 14:16:01.0,0,0,0,0,8161,192,5,7,8,8,0.00,0.00,0.00,-12.78,-10.12,-10.54,-11.05,3280.00,137.00,4962.00,8.56,38,59,28,20.0,52.6,-12.4,-13.6
2018-05-14 14:16:06.0,0,0,0,0,8171,151,5,7,8,8,0.00,0.00,0.00,-12.99,-10.33,-10.54,-11.25,3280.00,140.00,4962.00,8.56,38,56,28,20.0,39.4,-12.4,-13.6
2018-05-14 14:16:11.0,0,0,0,0,8171,146,5,7,8,8,0.00,0.00,0.00,-12.99,-10.33,-10.75,-11.25,3280.00,135.00,4962.00,8.56,38,57,28,19.7,41.6,-12.4,-13.6
2018-05-14 14:16:16.0,0,0,0,0,8171,151,5,7,8,8,0.00,0.00,0.00,-13.20,-10.33,-10.54,-11.25,3284.00,133.00,4962.00,8.56,38,57,28,19.7,39.4,-12.4,-13.6
2018-05-14 14:16:21.0,0,0,0,0,8171,146,5,7,8,8,0.00,0.00,0.00,-13.20,-10.33,-10.75,-11.25,3280.00,132.00,4962.00,7.70,38,57,28,19.7,39.9,-13.6,-13.6
2018-05-14 14:16:26.0,0,0,0,0,8171,146,5,7,8,8,0.00,0.00,0.00,-13.20,-10.33,-10.75,-11.25,3280.00,138.00,4962.00,7.70,38,56,28,19.3,40.5,-13.6,-13.6
